股票代码,股票名称,交易市场,交易日,开盘价,收盘价,最高价,最低价,成交量（单位手）,成交额（单位万元）,换手率
000001,上证指数,1,2000-01-04,1368.69,1406.37,1407.51,1361.21,9044290,580198,0.02;
000001,上证指数,1,2000-01-05,1407.82,1409.68,1433.78,1398.32,10597824,865387,0.03;
000001,上证指数,1,2000-01-06,1406.03,1463.94,1463.95,1400.25,13519870,1024015,0.04;
000001,上证指数,1,2000-01-07,1477.15,1516.6,1522.82,1477.15,34600184,2201131,0.09;
000001,上证指数,1,2000-01-10,1531.71,1545.11,1546.72,1506.4,31344148,2093378,0.08;
000001,上证指数,1,2000-01-11,1547.67,1479.78,1547.7,1468.75,21964456,1701328,0.06;
000001,上证指数,1,2000-01-12,1473.76,1438.02,1489.28,1434.99,15248482,1336149,0.04;
000001,上证指数,1,2000-01-13,1437.45,1424.44,1444.06,1418.81,8625944,779836,0.02;
000001,上证指数,1,2000-01-14,1426.22,1408.84,1433.47,1401.7,7496903,656137,0.02;
000001,上证指数,1,2000-01-17,1408.98,1433.33,1433.38,1402.66,7817975,661706,0.02;
000001,上证指数,1,2000-01-18,1436.88,1426.62,1443.59,1421.64,7919170,732573,0.02;
000001,上证指数,1,2000-01-19,1425.87,1440.72,1443.67,1425.14,8062128,684854,0.02;
000001,上证指数,1,2000-01-20,1443.09,1466.86,1466.9,1443.09,10210153,928180,0.03;
000001,上证指数,1,2000-01-21,1471.9,1465.08,1476.45,1458.92,15215153,1437068,0.04;
000001,上证指数,1,2000-01-24,1465.85,1477.34,1477.41,1449.47,16314918,1535800,0.04;
000001,上证指数,1,2000-01-25,1483.03,1476.5,1490.46,1467.43,13755612,1349978,0.04;
000001,上证指数,1,2000-01-26,1477.29,1481.11,1482.46,1469.98,10504760,999597,0.03;
000001,上证指数,1,2000-01-27,1490.44,1506.76,1506.92,1485.23,19071114,1694969,0.05;
000001,上证指数,1,2000-01-28,1514.55,1534.99,1536.34,1510.74,29450867,2255192,0.08;
