股票代码,股票名称,交易市场,交易日,开盘价,收盘价,最高价,最低价,成交量（单位手）,成交额（单位万元）,换手率
399001,深证成指,0,2021-01-04,14516.1,14827.5,14859.1,14486.2,435497759,64101413,2.32;
399001,深证成指,0,2021-01-05,14760.2,15147.6,15149.1,14716.8,458934764,69842578,2.45;
399001,深证成指,0,2021-01-06,15221.4,15187.6,15295.1,14987.4,433240719,64541743,2.31;
399001,深证成指,0,2021-01-07,15178.3,15356.4,15356.4,15101.7,469284073,67079452,2.5;
399001,深证成指,0,2021-01-08,15402.7,15319.3,15453.2,15162.7,420062728,63010512,2.24;
399001,深证成指,0,2021-01-11,15353.1,15115.4,15420.7,15011.6,439456645,68489478,2.34;
399001,深证成指,0,2021-01-12,15053.9,15460.0,15460.0,15020.3,386861601,60447256,2.06;
399001,深证成指,0,2021-01-13,15491.1,15365.4,15598.0,15240.9,432697298,67969584,2.3;
399001,深证成指,0,2021-01-14,15283.6,15070.1,15354.1,15033.5,396172477,61009262,2.11;
399001,深证成指,0,2021-01-15,15030.5,15031.7,15120.3,14772.1,364498330,55613588,1.94;
399001,深证成指,0,2021-01-18,14980.5,15269.3,15309.8,14898.9,364069404,54646441,1.94;
399001,深证成指,0,2021-01-19,15278.5,15004.0,15314.0,14954.3,395125729,57374083,2.1;
399001,深证成指,0,2021-01-20,15023.7,15223.4,15246.8,14958.2,340287544,51850452,1.81;
399001,深证成指,0,2021-01-21,15251.7,15520.6,15608.4,15251.7,410627802,61580214,2.19;
399001,深证成指,0,2021-01-22,15508.9,15628.7,15632.3,15381.6,396161439,62822368,2.11;
399001,深证成指,0,2021-01-25,15594.8,15710.2,15895.9,15534.2,403516913,68104482,2.15;
399001,深证成指,0,2021-01-26,15637.4,15352.4,15637.4,15328.4,350296020,57772566,1.86;
399001,深证成指,0,2021-01-27,15328.9,15413.8,15446.8,15107.0,338372168,52687785,1.8;
399001,深证成指,0,2021-01-28,15169.1,14913.2,15228.5,14881.8,354135178,52400603,1.89;
399001,深证成指,0,2021-01-29,15039.9,14822.0,15096.2,14609.6,368670239,53565938,1.96;
399001,深证成指,0,2021-02-01,14841.7,15024.2,15036.4,14797.4,337066644,48526202,1.79;
399001,深证成指,0,2021-02-02,15057.4,15335.7,15341.5,14981.3,329951252,51687036,1.76
