股票代码,股票名称,交易市场,交易日,开盘价,收盘价,最高价,最低价,成交量（单位手）,成交额（单位万元）,换手率
399001,深证成指,0,2000-01-04,3374.11,3497.06,3512.3,3360.21,7344508,523659,0.04;
399001,深证成指,0,2000-01-05,3500.13,3486.29,3589.18,3468.69,9373897,741125,0.05;
399001,深证成指,0,2000-01-06,3475.46,3655.2,3663.22,3454.35,11240481,909585,0.06;
399001,深证成指,0,2000-01-07,3701.48,3828.04,3848.06,3701.48,29900112,1904963,0.16;
399001,深证成指,0,2000-01-10,3881.75,3921.48,3929.06,3832.2,26987104,1855547,0.14;
399001,深证成指,0,2000-01-11,3924.71,3716.78,3931.08,3691.56,17572518,1355895,0.09;
399001,深证成指,0,2000-01-12,3699.29,3605.82,3768.14,3585.47,11408331,987034,0.06;
399001,深证成指,0,2000-01-13,3604.28,3580.98,3637.68,3552.05,7460482,594881,0.04;
399001,深证成指,0,2000-01-14,3582.16,3542.82,3609.19,3524.51,6150499,513540,0.03;
399001,深证成指,0,2000-01-17,3535.51,3594.65,3597.77,3496.0,6185308,545987,0.03;
399001,深证成指,0,2000-01-18,3601.88,3571.97,3633.11,3558.86,7308894,678390,0.04;
399001,深证成指,0,2000-01-19,3560.59,3603.86,3640.09,3559.94,7346087,687196,0.04;
399001,深证成指,0,2000-01-20,3608.17,3668.84,3670.19,3603.99,9766501,1045560,0.05;
399001,深证成指,0,2000-01-21,3687.19,3702.09,3744.27,3644.08,13849866,1377882,0.07;
399001,深证成指,0,2000-01-24,3709.19,3734.73,3736.43,3646.17,14635165,1507951,0.08;
399001,深证成指,0,2000-01-25,3752.53,3726.06,3803.77,3702.65,12463115,1296054,0.07;
399001,深证成指,0,2000-01-26,3718.13,3737.99,3754.1,3700.66,9642435,966461,0.05;
399001,深证成指,0,2000-01-27,3782.89,3844.97,3855.35,3754.1,16079228,1528833,0.09;
399001,深证成指,0,2000-01-28,3889.14,3952.41,3952.41,3869.42,24523840,1897594,0.13;
399001,深证成指,0,2000-02-14,4102.65,4322.37,4323.35,4096.46,41660200,2309623,0.22;
399001,深证成指,0,2000-02-15,4442.12,4394.69,4578.62,4343.58,44014596,3451873,0.23;
399001,深证成指,0,2000-02-16,4425.85,4457.41,4475.02,4329.14,32521908,3214685,0.17;
399001,深证成指,0,2000-02-17,4564.59,4313.97,4685.49,4256.26,43656024,4262488,0.23;
399001,深证成指,0,2000-02-18,4274.1,4356.6,4360.43,4095.67,25284760,2605080,0.13;
399001,深证成指,0,2000-02-21,4389.42,4344.49,4437.85,4275.3,27742684,2798536,0.15;
399001,深证成指,0,2000-02-22,4341.85,4186.7,4395.91,4174.96,21417148,2259728,0.11;
399001,深证成指,0,2000-02-23,4134.87,4072.47,4164.7,4039.87,18561418,1868266,0.1;
399001,深证成指,0,2000-02-24,4056.9,4221.84,4222.66,4056.9,14781034,1606956,0.08;
399001,深证成指,0,2000-02-25,4254.67,4262.82,4296.54,4189.37,16214137,1825031,0.09;
399001,深证成指,0,2000-02-28,4274.66,4481.74,4506.05,4244.73,22639434,2349357,0.12;
399001,深证成指,0,2000-02-29,4523.95,4484.16,4562.38,4369.48,24106488,2428905,0.13;
