股票代码,股票名称,交易市场,交易日,开盘价,收盘价,最高价,最低价,成交量（单位手）,成交额（单位万元）,换手率
399001,深证成指,0,2010-01-04,13766.1,13533.5,13782.8,13533.5,57570392,8235307,0.31;
399001,深证成指,0,2010-01-05,13539.8,13517.4,13597.4,13324.5,71781488,10254923,0.38;
399001,深证成指,0,2010-01-06,13509.4,13505.2,13677.4,13456.3,70311128,10310662,0.38;
399001,深证成指,0,2010-01-07,13514.6,13235.5,13571.3,13148.2,72938984,10432684,0.39;
399001,深证成指,0,2010-01-08,13180.9,13267.4,13270.6,13040.3,58439552,8325165,0.31;
399001,深证成指,0,2010-01-11,13559.3,13161.1,13606.2,13089.9,70225648,10036864,0.37;
399001,深证成指,0,2010-01-12,13187.4,13381.2,13381.2,12993.2,77314200,11460958,0.41;
399001,深证成指,0,2010-01-13,13031.5,13016.6,13228.0,12936.3,84422344,12564583,0.45;
399001,深证成指,0,2010-01-14,13037.8,13204.2,13222.2,12965.8,82196576,11907728,0.44;
399001,深证成指,0,2010-01-15,13247.7,13264.4,13320.4,13118.2,73688656,10615160,0.39;
399001,深证成指,0,2010-01-18,13234.1,13361.5,13373.1,13175.9,75248224,10719746,0.4;
399001,深证成指,0,2010-01-19,13389.6,13350.7,13433.1,13318.3,75297096,10690226,0.4;
399001,深证成指,0,2010-01-20,13375.5,12916.2,13389.9,12871.6,90533624,12918508,0.48;
399001,深证成指,0,2010-01-21,12928.5,12917.2,12982.9,12733.0,59927580,8361564,0.32;
399001,深证成指,0,2010-01-22,12756.9,12595.9,12756.9,12394.1,68625936,9536761,0.37;
399001,深证成指,0,2010-01-25,12506.1,12470.2,12640.7,12458.6,45018880,5869037,0.24;
399001,深证成指,0,2010-01-26,12496.1,12162.6,12536.5,12091.1,52205480,7079320,0.28;
399001,深证成指,0,2010-01-27,12157.1,12046.8,12233.1,11946.5,42695000,5907272,0.23;
399001,深证成指,0,2010-01-28,12009.0,12120.5,12166.5,11904.0,42039424,5890082,0.22;
399001,深证成指,0,2010-01-29,12058.7,12137.2,12339.1,11998.7,50309868,6843314,0.27;
399001,深证成指,0,2010-02-01,12125.5,11989.1,12126.3,11842.0,52897516,7285424,0.28;
399001,深证成指,0,2010-02-02,12035.9,11912.9,12173.9,11912.9,46374332,6283290,0.25;
399001,深证成指,0,2010-02-03,11961.1,12262.6,12262.6,11714.2,60457392,7967735,0.32;
399001,深证成指,0,2010-02-04,12177.2,12169.5,12283.5,12112.9,63588968,8093415,0.34;
399001,深证成指,0,2010-02-05,11892.3,11917.1,12018.4,11823.1,65192232,8249681,0.35;
399001,深证成指,0,2010-02-08,11900.1,11947.3,11997.7,11847.0,41573908,5320565,0.22;
399001,深证成指,0,2010-02-09,11935.8,11970.4,12037.3,11900.3,37138428,4676055,0.2;
399001,深证成指,0,2010-02-10,12083.0,12185.4,12185.4,12051.2,33833700,4765542,0.18;
399001,深证成指,0,2010-02-11,12179.0,12224.6,12297.4,12152.3,32963862,4702090,0.18;
399001,深证成指,0,2010-02-12,12259.5,12304.8,12327.9,12241.6,31611400,4649240,0.17;
399001,深证成指,0,2010-02-22,12299.1,12213.5,12337.8,12213.5,37537720,5187622,0.2;
399001,深证成指,0,2010-02-23,12185.9,12069.2,12185.9,11922.7,45644696,6143221,0.24;
399001,深证成指,0,2010-02-24,11995.0,12282.1,12282.1,11937.0,59689564,7984055,0.32;
399001,深证成指,0,2010-02-25,12324.9,12494.3,12496.0,12324.9,71480736,9789033,0.38;
399001,深证成指,0,2010-02-26,12473.0,12436.7,12527.0,12417.2,64418500,9015626,0.34;
399001,深证成指,0,2010-03-01,12480.8,12588.3,12599.3,12454.0,68953440,9536516,0.37;
399001,深证成指,0,2010-03-02,12595.3,12548.9,12690.5,12517.3,71436504,9754235,0.38;
399001,深证成指,0,2010-03-03,12544.0,12612.7,12612.7,12444.2,75186672,10305726,0.4;
399001,深证成指,0,2010-03-04,12648.0,12312.9,12720.4,12292.3,83625552,11433979,0.45;
399001,深证成指,0,2010-03-05,12312.7,12341.7,12433.6,12268.5,54891736,7674027,0.29;
399001,深证成指,0,2010-03-08,12376.3,12437.6,12470.9,12327.7,49968120,6981373,0.27;
399001,深证成指,0,2010-03-09,12440.2,12507.7,12569.6,12290.0,57236816,7828674,0.31;
399001,深证成指,0,2010-03-10,12496.8,12391.6,12554.0,12363.4,52009240,7196848,0.28;
399001,深证成指,0,2010-03-11,12399.8,12367.7,12468.9,12277.2,47041912,6771003,0.25;
399001,深证成指,0,2010-03-12,12364.6,12169.1,12376.6,12167.3,45629352,6893832,0.24;
399001,深证成指,0,2010-03-15,12154.5,11903.3,12158.9,11867.0,38061356,5562686,0.2;
399001,深证成指,0,2010-03-16,11931.3,11948.8,11985.0,11835.6,35413976,5165518,0.19;
399001,深证成指,0,2010-03-17,12007.8,12233.8,12233.8,11975.6,52613244,7355856,0.28;
399001,深证成指,0,2010-03-18,12257.8,12236.7,12354.9,12198.1,55724528,7946605,0.3;
399001,深证成指,0,2010-03-19,12265.3,12352.9,12361.2,12185.5,56199864,7910270,0.3;
399001,深证成指,0,2010-03-22,12358.0,12352.5,12411.2,12304.5,57500220,7960911,0.31;
399001,深证成指,0,2010-03-23,12362.4,12305.0,12400.2,12280.0,56108276,8252319,0.3;
399001,深证成指,0,2010-03-24,12315.6,12290.0,12359.2,12260.5,58947900,8915777,0.31;
399001,深证成指,0,2010-03-25,12266.6,12086.9,12266.6,12078.3,60628960,9115258,0.32;
399001,深证成指,0,2010-03-26,12081.1,12240.4,12282.3,12030.4,50653632,7743528,0.27;
399001,深证成指,0,2010-03-29,12301.6,12552.5,12574.9,12301.6,61088916,9430737,0.33;
399001,深证成指,0,2010-03-30,12574.8,12593.0,12617.7,12527.6,56299656,8867367,0.3;
399001,深证成指,0,2010-03-31,12603.8,12494.3,12611.4,12469.5,59050984,9602885,0.32;
399001,深证成指,0,2010-04-01,12512.4,12686.1,12689.1,12512.4,76986048,11997399,0.41;
