股票代码,股票名称,交易市场,交易日,开盘价,收盘价,最高价,最低价,成交量（单位手）,成交额（单位万元）,换手率
000001,上证指数,1,2021-01-04,3474.68,3502.96,3511.66,3457.21,380790799,52336770,1.01;
000001,上证指数,1,2021-01-05,3492.19,3528.68,3528.68,3484.72,407995935,56801946,1.08;
000001,上证指数,1,2021-01-06,3530.91,3550.88,3556.8,3513.13,370230927,52179952,0.98;
000001,上证指数,1,2021-01-07,3552.91,3576.2,3576.2,3526.62,405348227,54570962,1.07;
000001,上证指数,1,2021-01-08,3577.69,3570.11,3588.06,3544.89,345557896,50217081,0.91;
000001,上证指数,1,2021-01-11,3571.32,3531.5,3597.7,3516.99,362479155,52689592,0.96;
000001,上证指数,1,2021-01-12,3518.01,3608.34,3608.34,3517.47,323406154,48577118,0.85;
000001,上证指数,1,2021-01-13,3613.28,3598.65,3622.35,3575.59,388127790,55485343,1.03;
000001,上证指数,1,2021-01-14,3584.93,3565.9,3599.06,3559.6,347666819,51132510,0.92;
000001,上证指数,1,2021-01-15,3566.28,3566.38,3589.27,3533.79,324612744,48034378,0.86;
000001,上证指数,1,2021-01-18,3554.8,3596.22,3608.77,3544.26,301652564,45174070,0.8;
000001,上证指数,1,2021-01-19,3596.36,3566.38,3603.15,3553.02,323439542,46740258,0.85;
000001,上证指数,1,2021-01-20,3564.12,3583.09,3589.96,3556.44,272271662,39714476,0.72;
000001,上证指数,1,2021-01-21,3590.92,3621.26,3636.24,3585.8,327466995,46985522,0.86;
000001,上证指数,1,2021-01-22,3616.54,3606.75,3616.54,3585.03,324463084,48545219,0.86;
000001,上证指数,1,2021-01-25,3605.36,3624.24,3637.1,3591.02,327341071,52725734,0.86;
000001,上证指数,1,2021-01-26,3610.97,3569.43,3610.97,3564.74,278139884,43632666,0.73;
000001,上证指数,1,2021-01-27,3567.55,3573.34,3578.8,3546.49,264107162,39627039,0.7;
000001,上证指数,1,2021-01-28,3534.67,3505.18,3549.54,3496.88,270862461,39157438,0.72;
000001,上证指数,1,2021-01-29,3521.72,3483.07,3531.6,3446.55,293662664,41652862,0.78;
000001,上证指数,1,2021-02-01,3477.17,3505.28,3506.39,3469.88,277567900,37147306,0.73;
000001,上证指数,1,2021-02-02,3510.81,3533.68,3535.5,3495.57,264540631,38412785,0.7
